id,time,kmh,lon,lat
9066,2017-12-17 11:39:05,31,24.938066890052028,60.18164223267274
269,2017-12-17 11:41:52,0,23.83643452921118,67.35218365293215
423,2017-12-17 11:42:41,49,24.645117362430774,62.25957738146506
8102,2017-12-17 11:44:45,22,24.939879476618653,60.1743793135819
9932,2017-12-17 11:45:09,31,24.781113322370473,60.73804000521237
9367,2017-12-17 11:45:58,84,25.100655611223754,60.38895959678779
5054,2017-12-17 11:46:34,46,27.68603352850649,63.095052254149344
1,2017-12-17 11:46:54,3,29.777929159558706,62.600817231909815
143,2017-12-17 11:47:27,121,23.75732679791708,61.37645310752252
2311,2017-12-17 11:47:45,0,28.495036717863208,61.122320425525686
9652,2017-12-17 11:48:15,35,24.941512522817654,60.173994961413364
8107,2017-12-17 11:48:58,24,24.813272924669736,60.21924847938535
22,2017-12-17 11:50:13,52,22.835907284223985,62.7958101805556
784,2017-12-17 11:50:44,28,28.305061469171555,60.86343478523961
9350,2017-12-17 11:51:01,10,24.942182823622545,60.173345405826325
46,2017-12-17 11:51:07,11,23.773506134149464,61.49751109084119
54125,2017-12-17 11:52:28,16,27.666528588368802,63.07653591760633
5221,2017-12-17 11:52:28,43,29.923430113897957,64.53569345212452
9069,2017-12-17 11:52:43,0,24.939606394222256,60.17298255323563
4582,2017-12-17 11:52:52,41,30.34178875453243,62.54496106738209
11799,2017-12-17 11:53:29,0,26.72624107445895,60.86600249745668
951,2017-12-17 11:53:44,96,24.720357894433263,60.210517917863974
5220,2017-12-17 11:53:44,76,28.61766094390391,64.41446669924403
53322,2017-12-17 11:53:44,0,23.771572261454804,61.47790171221694
3432,2017-12-17 11:53:45,70,24.267893749641313,61.61942603999101
9828,2017-12-17 11:53:45,110,25.13554905503287,60.509703552105755
54334,2017-12-17 11:53:46,67,26.046758154201992,62.239391160279425
5222,2017-12-17 11:53:46,80,26.843609092735896,64.55814697818117
716,2017-12-17 11:53:46,61,28.10092097182704,64.34550890769061
74,2017-12-17 11:53:46,154,25.59313961276665,60.9655766571409
8679,2017-12-17 11:53:46,109,24.86414336556929,60.24640354060064
8512,2017-12-17 11:53:47,52,24.655446633236583,60.20494761147875
66,2017-12-17 11:53:47,12,27.12496091617684,62.62253088736294
8108,2017-12-17 11:53:47,0,24.813658324564432,60.21913213856465
2087,2017-12-17 11:53:47,0,28.114554891627808,60.91175754660592
761,2017-12-17 11:53:47,0,29.777222146017216,62.600169729885934
443,2017-12-17 11:53:48,2,22.84730164337111,62.79083648496096
424,2017-12-17 11:53:48,0,24.70694831519071,62.25537440185411
9077,2017-12-17 11:53:48,0,24.99434340706576,60.242604023902324
9373,2017-12-17 11:53:48,79,25.063107618680576,60.32659429778188
9656,2017-12-17 11:53:48,121,25.107250827921415,60.43574507520179
43,2017-12-17 11:53:48,116,23.75732964777686,61.37656387437584
5221,2017-12-17 11:53:49,54,29.901742945264278,64.53191019632288
4582,2017-12-17 11:53:49,34,30.330457594912744,62.54699200251849
9379,2017-12-17 11:53:49,51,24.950222074588552,60.221492314862196
954,2017-12-17 11:53:49,144,22.819580077950597,60.42252734710193
9387,2017-12-17 11:53:49,0,24.941849391508082,60.173953261443074
8672,2017-12-17 11:53:50,37,24.938305606665605,60.18261004911921
